sample;m_s;e_m_s;m_st;e_m_st;m_stp;e_m_stp;m_rt;e_m_rt;m_sus;e_m_sus;rho_p;e_rho_p;rho_t;e_rho_t;rho_h2o;e_rho_h2o
JT-01;9.4496;2.00E-04;9.4596;2.00E-02;10.0947;2.00E-02;0.0039;2.00E-04;5.7871;2.00E-02;0.8406;0.0010;1.4411;0.0069;0.997565;2.00E-04
JT-02;2.6932;2.00E-04;2.7004;2.00E-02;2.9996;2.00E-02;0.0050;2.00E-04;1.6336;2.00E-02;0.8406;0.0010;1.4411;0.0069;0.997612;2.00E-04
JT-19;17.2166;2.00E-04;17.2285;2.00E-02;18.2919;2.00E-02;0.0102;2.00E-04;10.6913;2.00E-02;0.8545;0.0010;1.4411;0.0069;0.997751;2.00E-04
JT-19;20.3170;2.00E-04;20.3342;2.00E-02;21.3299;2.00E-02;0.0138;2.00E-04;12.6775;2.00E-02;0.8545;0.0010;1.4411;0.0069;0.997751;2.00E-04
JT-20;12.1378;2.00E-04;12.1514;2.00E-02;12.8403;2.00E-02;0.0101;2.00E-04;7.6133;2.00E-02;0.8506;0.0010;1.4411;0.0069;0.997589;2.00E-04
JT-20;14.4587;2.00E-04;14.4722;2.00E-02;15.2582;2.00E-02;0.0100;2.00E-04;9.0284;2.00E-02;0.8506;0.0010;1.4411;0.0069;0.997589;2.00E-04
JT-20;10.7935;2.00E-04;10.8133;2.00E-02;11.6587;2.00E-02;0.0161;2.00E-04;6.6848;2.00E-02;0.8506;0.0010;1.4411;0.0069;0.997589;2.00E-04
JT-21;9.1803;2.00E-04;9.1915;2.00E-02;9.7652;2.00E-02;0.0082;2.00E-04;5.6831;2.00E-02;0.8545;0.0010;1.4411;0.0069;0.997774;2.00E-04
JT-21;9.3154;2.00E-04;9.3275;2.00E-02;9.8829;2.00E-02;0.0088;2.00E-04;5.8218;2.00E-02;0.8545;0.0010;1.4411;0.0069;0.997774;2.00E-04
JT-21;9.6051;2.00E-04;9.6149;2.00E-02;10.2052;2.00E-02;0.0097;2.00E-04;6.0164;2.00E-02;0.8545;0.0010;1.4411;0.0069;0.997774;2.00E-04
