sample;mass;mass std;sample volume;volume std;chamber volume
JT-01;15.3043;5.00E-05;5.6397;0.0014;37.7060
JT-01;15.3031;5.00E-05;5.6394;0.0008;37.7060
JT-02;2.6932;5.00E-05;0.9744;0.0003;11.2530
JT-02;8.7007;5.00E-05;3.1337;0.0007;37.6990
JT-02;2.6952;5.00E-05;0.9702;0.0016;16.2690
JT-19;31.4481;5.00E-05;11.4415;0.0022;37.7060
JT-19;20.3177;5.00E-05;7.4393;0.0011;37.7060
JT-19;29.1237;5.00E-05;10.6480;0.0010;37.7060
JT-20;28.8292;5.00E-05;10.2981;0.0022;37.7060
JT-20;17.4092;5.00E-05;6.2395;0.0063;37.7060
JT-20;22.9297;5.00E-05;8.2026;0.0024;37.7020
JT-21;10.3872;5.00E-05;3.7116;0.0005;37.7060
JT-21;8.4727;5.00E-05;3.0159;0.0006;37.7060
JT-21;29.0476;5.00E-05;10.4566;0.0011;37.7060
JT-21;18.9203;5.00E-05;6.7938;0.0008;37.7060
JT-22;7.1179;5.00E-05;2.5848;0.0010;11.2550
JT-22;6.6522;5.00E-05;2.4713;0.0006;11.2550
JT-23;9.6329;5.00E-05;3.5123;0.0004;37.7060
JT-23;25.7717;5.00E-05;9.3491;0.0014;37.7060
JT-24;18.9355;5.00E-05;6.8608;0.0052;37.7060
JT-24;20.9784;5.00E-05;7.6629;0.0065;37.7060
JT-25;7.7553;5.00E-05;2.8263;0.0002;11.2550
JT-25;7.4176;5.00E-05;2.7173;0.0004;11.2550
JT-25;7.0501;5.00E-05;2.5862;0.0002;11.2550
JT-26;28.9818;5.00E-05;10.5834;0.0031;37.7060
JT-26;9.0616;5.00E-05;3.3237;0.0006;37.7060
JT-26;19.6249;5.00E-05;7.1966;0.0014;37.7060
JT-27;9.6473;5.00E-05;3.5195;0.0006;37.7060
JT-27;18.079;5.00E-05;6.6302;0.0019;37.7060
JT-27;19.5267;5.00E-05;7.1684;0.0014;37.7060
JT-28;11.3709;5.00E-05;4.1569;0.0009;37.7020
JT-28;10.499;5.00E-05;3.8254;0.0034;37.7020
JT-28;15.1745;5.00E-05;5.5506;0.0028;37.7020
SX-03;39.1985;5.00E-05;14.5407;0.0013;37.7040
SX-03;31.719;5.00E-05;11.8132;0.0014;37.7040
SX-03;34.2682;5.00E-05;12.6501;0.0004;37.7040
SX-04;15.1101;5.00E-05;5.4377;0.0018;37.7040
SX-04;12.1565;5.00E-05;4.4003;0.0021;37.7040
SX-04;13.8085;5.00E-05;5.0322;0.0042;37.7040
