sample;mass;mass std;sample volume;volume std;chamber volume
JT-01;4.1556;5.00E-05;1.5313;0.0008;11.2540
JT-02;5.5582;5.00E-05;2.0088;0.0006;11.2540
JT-02;3.3781;5.00E-05;1.2242;0.0006;11.2540
JT-02;2.7533;5.00E-05;0.9931;0.0012;11.2540
JT-19;7.5135;5.00E-05;2.7496;0.0003;11.2530
JT-20;7.3631;5.00E-05;2.6408;0.0004;11.2530
JT-21;10.0597;5.00E-05;3.6353;0.0007;11.2530
JT-22;7.3366;5.00E-05;2.6762;0.0003;11.2530
JT-23;8.9441;5.00E-05;3.2903;0.0003;11.2530
JT-24;8.3341;5.00E-05;3.0327;0.0003;11.2530
JT-25;8.5516;5.00E-05;3.1277;0.0003;11.2530
JT-26;8.1237;5.00E-05;2.9684;0.0007;11.2530
JT-27;8.6102;5.00E-05;3.1317;0.0006;11.2530
JT-27;10.1884;5.00E-05;3.7214;0.0001;11.2530
JT-28;7.6861;5.00E-05;2.7922;0.0005;11.2530
SX-03;12.7953;5.00E-05;4.7151;0.0002;11.089
SX-04;11.5476;5.00E-05;4.1957;0.0001;11.089
