;JT01;JT02;JT19;JT20;JT20B;JT22;JT23;JT24;JT25;JT26;JT28;SX03;SX04
SiO2;0.6131;0.5981;0.6997;0.6139;0.6201;0.6401;0.5691;0.6555;0.7101;0.7181;0.6287;0.7593;0.6771
TiO2;0.0123;0.0067;0.0076;0.0094;0.0084;0.0088;0.0156;0.0089;0.0069;0.0065;0.0075;0.0055;0.0083
Al2O3;0.1567;0.1873;0.1481;0.1921;0.178;0.1736;0.1875;0.1719;0.1394;0.1455;0.1902;0.1142;0.147
Fe2O3;0.087;0.0791;0.0496;0.0686;0.065;0.0586;0.0833;0.0648;0.0486;0.0428;0.0683;0.0303;0.0558
MnO;0.001;0.0012;0.0009;0.0009;0.0008;0.0008;0.0011;0.0009;0.0007;0.0006;0.0009;0.0005;0.0009
MgO;0.0359;0.0285;0.0206;0.0288;0.0254;0.0246;0.0318;0.0215;0.0225;0.0192;0.0266;0.0139;0.0229
CaO;0.0202;0.0071;0.0201;0.0137;0.0147;0.0244;0.0325;0.0146;0.0168;0.0167;0.012;0.0161;0.0125
Na2O;0.0228;0.0248;0.0404;0.0323;0.0369;0.0372;0.0518;0.0442;0.0365;0.0378;0.0451;0.0264;0.0199
K2O;0.0343;0.0465;0.0287;0.0469;0.0465;0.0406;0.0315;0.0354;0.0233;0.0282;0.0452;0.0223;0.031
P2O5;0.0041;0.0029;0.0021;0.0027;0.0035;0.0064;0.0123;0.0014;0.0016;0.003;0.0014;0.0019;0.0009
