#E (m, CH1903);642012.14
#N (m, CH1903);155359.54
#Z (m, CH1903);3401.33
#azimuth (deg);151.2
#inclination angle (deg);45.2
#effective area (cm2);27
#exposure time (sec);4.12E+06
slope x;slope y
-0.844598;-0.12259
0.3205075;-0.028493
0.2180072;-0.311552
0.0921964;-0.429109
-0.486669;-0.065963
0.1006607;-0.06403
-0.404991;0.1315199
0.2148413;-0.602796
-1.087592;-0.227787
-0.0005;-0.207983
-0.01825;0.0067427
-0.151541;-0.443372
-0.097943;-0.24121
-0.054704;-0.113099
-0.236978;-0.568915
-0.069056;-0.481263
0.7822158;-0.310674
0.6912238;-0.153648
-0.182644;-0.431225
-0.594867;-0.48529
0.5464035;0.1340101
-0.043026;-0.170901
0.599251;-0.62285
-0.066317;-0.579877
-0.598813;-0.442316
-0.116533;-0.184296
-0.184085;0.0055061
0.0009351;-0.361766
-0.302157;0.0900006
-0.468275;-0.534841
0.6926724;-0.048889
0.2285429;0.0361
-0.458888;-0.221088
0.2778954;-0.299983
0.2796773;-0.064496
0.5507854;-0.747551
-0.320053;-0.289587
0.9569249;-0.421574
0.0159092;-0.454901
1.0691658;-0.020147
-0.081504;-0.109276
-0.099176;-0.420679
-0.822442;-0.207842
-0.67726;0.0709499
0.4299228;-0.475088
0.5961712;-0.219674
-0.549034;-0.389291
-0.289328;-0.467412
-0.2704;-0.02614
-0.315943;-0.518559
-1.029496;-0.115897
-0.37141;-0.135846
-0.149629;-0.059618
0.562257;-0.707687
-0.01102;-0.25223
0.6762759;0.0563404
-0.378439;0.1467881
-0.127588;-0.185678
-0.478892;0.0594239
0.4270552;-0.516045
-0.149907;-0.4544
-0.592067;-0.323635
0.6720598;-0.837287
-0.489156;-0.234197
0.0199553;0.1209677
0.0987909;-0.73109
-0.280118;-0.283642
0.2014021;-0.086067
-0.386573;0.0266503
0.039055;0.2307848
-0.759241;0.0990304
1.1840572;-0.521368
-0.437542;-0.931857
-0.772479;0.1361263
0.5845015;-0.76372
0.6349896;-0.412791
-0.530959;0.072854
0.07586;0.0065494
1.0982854;-0.488944
-0.664362;0.0986064
-0.221126;0.0237687
0.4740172;-0.030668
-1.001716;0.081824
0.708722;-0.472213
-0.755966;-0.502061
0.0453197;-0.2807
0.2568173;-0.006137
-0.16207;-0.586317
-0.111843;-0.507758
0.0449929;0.183638
0.3282079;-0.237774
0.384206;-0.478413
-0.016246;-0.272011
-0.235096;0.3250412
-0.460186;-0.049924
0.2812558;-0.331249
-0.069646;-0.294158
0.7910295;0.0688858
-0.707679;-0.036222
-0.149976;0.0024413
0.8834836;0.2832468
0.0165421;0.2361792
0.2135392;-0.633622
0.1747826;-0.339621
-0.074739;-0.173941
-0.269223;-0.483803
0.1118282;0.071835
0.19758;-0.127721
-1.015105;-0.287134
-0.438745;-0.039313
-0.310958;0.1353967
-0.252858;-0.090654
-0.002293;-0.0123
-0.534808;-0.155356
-0.132047;-0.008802
0.474561;-0.134728
0.0814845;-0.28463
0.228849;0.2910807
-0.180321;-0.179821
-0.066278;0.0407209
-0.05818;0.0873751
-0.635258;0.1317875
0.4387087;-0.288563
-0.37343;0.2050486
1.0126974;-0.742261
0.0390279;0.1037168
-0.118834;-0.233245
0.0107858;0.2968941
0.9206886;-0.464848
-0.072057;-0.376445
0.100921;0.1261971
0.3464423;-0.204446
-1.296818;0.185973
-0.468398;0.3625041
-0.099227;-1.114663
1.0578445;-0.493274
-0.359864;-0.45771
-0.639711;0.3279991
0.0853016;-0.20884
-0.141589;-0.251382
-0.109993;0.1664139
0.6492807;-0.046245
0.0500291;0.3338595
0.1334439;-0.116019
0.1017318;-0.205605
0.0440417;0.0920175
-0.39076;-0.280841
-0.544826;0.1777429
0.0116967;-0.241995
-0.360613;-0.359861
-0.574505;-0.961032
0.0916964;0.0018757
-0.184087;0.0386794
0.0360705;0.0116469
0.4294318;-0.393597
0.5341937;-0.024553
-0.155913;0.3849886
-0.168072;-0.064189
0.3057595;-0.230855
-0.201374;-0.032151
0.1390601;-0.446603
0.0890482;-0.041379
-0.013848;0.0406826
-0.182918;0.2461138
-0.182745;0.3026771
-0.232603;0.2108266
-0.120859;0.2708061
-0.10709;0.2404018
-1.236797;-0.235048
0.0479102;-0.275948
-0.436564;0.425421
-0.190425;-0.91744
-0.586943;-0.279511
0.2659771;-0.396702
0.1499518;-0.141765
0.5999345;-0.099203
0.3919336;-1.085624
-0.535571;0.3544323
-0.084459;0.2090181
-0.056303;-0.228576
0.2141075;-0.463608
0.0523856;0.1864727
-0.048221;0.3828248
0.52238;-0.106387
-0.412159;0.0327634
-0.732104;0.449041
-0.72347;-0.505621
0.2513579;-0.221112
0.2475797;-0.541087
0.0358247;-0.376337
-0.000344;-0.092776
1.3552401;0.0858686
0.269424;-0.094718
-0.08789;0.1724589
0.2691052;-0.012289
-0.153918;-0.884262
0.6674825;-0.837321
-0.428925;-0.607792
0.2265105;0.1962136
0.1848759;0.1270305
0.2010815;-0.142348
-0.553598;-0.04864
0.3441117;0.1048772
-0.300119;0.2818197
0.8604352;-0.224849
-0.775829;-0.231449
0.7543908;-0.027096
-0.329279;-0.331548
-0.132736;0.3236095
0.2123019;-0.047977
-0.524791;-0.413984
-0.061726;-0.016967
-0.096257;-0.033078
0.3270736;0.2188553
-0.246909;-0.039276
-0.034477;0.1204274
-0.069705;-0.135904
-0.64785;0.0267077
-0.134519;-0.342645
1.088866;-0.288118
-0.081914;-0.551559
-0.465337;-0.33634
0.0169407;0.1864153
0.1934787;0.0524708
-0.345096;0.2273493
0.2858551;-0.374014
0.9804157;0.3936315
0.1978198;0.0836349
0.4470926;-0.392497
0.1208488;-0.437971
0.1157813;-0.001785
0.3266257;-0.062713
-0.249057;-0.088847
0.2079552;-0.626178
0.1311527;-0.307026
0.1066483;0.407023
-0.570465;0.1589819
0.8210601;-0.309855
0.0838955;-0.548463
-0.268231;-0.197227
0.4300893;-0.45986
0.022516;-1.171114
0.445067;0.1767428
-0.384336;-0.134169
0.442542;-0.321969
0.5352334;-1.120698
-0.194599;-0.329047
-0.091594;-0.457566
-0.245065;-1.241169
0.0759264;-0.096268
-0.323618;-0.836301
0.0847136;0.1215603
-0.541497;0.470715
0.8060155;0.3271199
-1.200443;-0.226009
0.1377446;0.0676526
0.1799225;0.0993495
-0.126554;-0.18226
0.0173078;-0.195916
-0.323362;-0.264241
-0.341724;0.2355135
-0.630842;0.3964951
-0.42034;0.3553525
-0.149441;0.4885538
0.5925303;0.2898095
-0.01728;-0.036395
-0.166953;-0.177569
0.4482711;0.0499352
-0.062089;-0.282276
0.0710368;0.0597873
0.1834703;-0.221273
0.451557;0.5691803
-0.826604;-0.070075
-0.31556;-0.105866
0.1735271;-0.250552
-0.664573;-0.535034
0.0472868;0.3641008
0.3840385;-0.190349
0.3850319;0.0209145
-0.147067;-0.436448
-0.94706;-0.329374
-0.779892;-0.006906
0.2847446;0.3545766
0.0381557;-0.563804
0.302357;-0.412712
-0.209453;0.1662095
0.2935306;0.226167
0.7088825;-0.202555
0.2139262;0.1679175
-0.361962;-0.132593
0.0844874;-0.416183
0.5147781;0.308719
-0.008393;0.2734743
-0.135468;-0.230396
-0.254541;-0.007283
0.2920661;-0.065004
-0.026008;0.1124857
0.1728236;0.1907245
-0.078953;-0.238295
-0.558194;-0.213479
0.0868183;0.2410754
-0.40134;-0.595807
-0.474939;-0.118234
0.0956761;0.3809497
-0.040244;-0.314003
0.0698621;0.3004454
-0.838618;-0.049606
-0.799313;-0.078798
-0.541474;0.2818533
0.3435667;0.010845
0.0925378;0.0861085
0.2014444;-0.540484
-0.170558;0.0550681
-0.088115;0.163216
0.1612161;-0.161742
-0.536064;-0.038811
-0.947466;0.1056008
-0.464354;0.609884
-0.064002;-0.248636
0.3643474;-0.408074
0.0606959;0.0930075
-0.381927;-0.209459
-0.465413;-0.430705
0.5746566;0.1245196
