#E (m, CH1903);641975.26
#N (m, CH1903);155325.59
#Z (m, CH1903);3413.84
#azimuth (deg);90.7
#inclination angle (deg);44.6
#effective area (cm2);25.6
#exposure time (sec);4.12E+06
slope x;slope y
0.5955743;-0.114824
-0.861727;0.0084486
0.5055841;0.0338647
0.5493228;-0.294194
0.6226417;0.1013561
-0.272453;0.0401123
-0.452908;-0.123526
0.3667635;-0.027571
0.5120303;-0.483264
0.7372089;-0.219738
0.1389034;-0.234962
0.8972965;-0.290962
0.1420483;-0.229149
1.0921672;-0.514034
0.4744833;-0.173868
0.2377064;-0.344094
0.5283823;0.1246342
0.8195996;0.135732
0.1465395;-0.549936
-0.19889;-0.011351
0.487829;-0.121036
0.6802332;-0.43929
-0.013415;-0.139084
0.2740065;-0.192577
0.5493665;-0.465404
0.8747757;-0.328847
0.2424598;-0.3748
0.0148418;-0.607353
0.3201276;-0.101424
-0.141276;-0.429918
0.6738536;-0.383154
0.4027647;0.0954586
0.9304417;-0.420992
-0.804953;-0.028244
1.2753768;-0.040392
0.7713378;-0.051332
0.6279143;-0.40109
-0.785297;0.0338904
-0.130558;-0.58286
0.3445587;-0.143304
0.5848199;-0.352717
0.2752865;-0.546654
-0.208172;0.002679
0.5166249;-0.767661
0.7262123;-0.130599
0.5890985;-0.448715
0.464431;-0.039205
0.4979598;-0.361041
0.1217915;0.140685
0.1793149;-0.288912
0.8244759;-0.115455
1.137842;-0.602579
0.3564966;-0.335741
0.5028129;0.0004886
0.2936317;-0.40027
0.9242671;-0.29003
-1.099415;0.0239994
-0.120108;-0.434104
0.870299;-0.502473
0.6923357;-0.298402
-0.432326;-0.174765
0.3322148;0.1908139
1.1722662;0.143462
0.006267;-0.650424
-0.317552;-0.216898
-0.008463;-0.166527
1.2628357;-0.246778
-0.07415;-0.299234
0.1354924;-0.359135
-0.340581;-0.789364
-0.124426;-0.656833
-0.071285;-0.069652
-0.473516;0.0078827
0.681456;-0.001315
0.4529953;0.0331385
0.8549327;0.0066502
-0.2825;-0.04359
-0.134763;-0.073814
0.051995;0.0649918
-0.150887;0.045426
-0.309188;-0.305362
-0.056494;0.1571144
1.0286117;0.0350716
0.304607;0.1732636
1.4323825;-0.235385
1.2511214;-0.210734
0.5528081;0.2300946
-0.059679;-0.100544
0.5677892;0.1174153
1.3150788;-0.379758
0.7962778;-0.055518
0.2341075;0.1137426
-0.400622;-0.226235
0.477658;0.2488655
0.0963794;-0.358289
-0.4556;-0.21268
0.785129;-0.25199
0.2903602;0.2522371
0.6805872;-0.22449
0.0334998;-0.343567
-0.357936;-0.35272
0.4530006;-0.226706
0.6939471;0.0915014
-0.256247;-0.399859
0.8348398;-0.299382
-0.000355;0.1204149
1.1006245;0.1553234
0.4221955;-0.058076
0.6348704;0.2512425
0.1090052;0.0119645
-0.078037;-0.569031
-0.79549;-0.111708
0.13891;0.2425946
0.0998163;0.0775455
0.2212558;-0.155148
-0.3112;-0.046346
0.4450301;0.2051946
-0.001302;-0.349803
0.0354637;-0.379982
0.9625383;-0.21088
-1.07066;0.1666296
0.5445047;0.0917027
-0.033949;-0.023629
0.421621;-0.083857
1.0577358;-0.566055
0.2805428;-0.397304
0.2382181;-0.219588
1.2559125;0.0184493
0.1594059;-0.375061
0.2829742;-0.411308
0.716755;0.0143875
0.8757321;0.2015624
0.5542235;-0.3129
0.8891649;-0.063612
0.264438;-0.072559
1.0926237;0.0435706
1.2884478;-0.116319
0.8975233;-0.256249
0.3124673;0.0975115
0.142973;-0.021781
-0.195441;0.2579594
0.2320746;-0.09707
0.2589552;-0.261411
1.0017907;0.0482076
0.3587089;-0.568568
0.8112412;-0.456987
0.9938914;0.3199184
0.8380548;-0.092293
0.4584334;-0.290136
0.6058437;0.0913687
